Day,Site,Station,Round,H Pheidole dentata ,T Pheidole dentata,H Solenopsis invicta,T Solenopsis invicta ,H Tapinoma sessile ,T Tapinoma sessile ,H Nylanderia fulva,T Nylanderia fulva ,H Pheidole moerens ,T Pheidole moerens ,H Camponotus pennsylvanicus ,T Camponotus pennsylvanicus ,H Crematogaster sp,T Crematogaster sp,H Undientified 1,T Unidentified 1,H Aphaenogaster treatae,T Aphaenogaster treatae,H Unidentified 2,T Cyphomyrmex rimosus,H Cyphomyrmex rimosus,Notes
2,b,1,1,,,,,,,2,5,,,,,,,,,,,,,,
2,b,1,2,,,,,,,21,66,,,,,,,,,,,,,,
2,b,1,3,,,,,,,67,88,,,,,,,,,,,,,,
2,b,1,4,,,,,,,49,96,,,,,,,,,,,,,,
2,b,1,5,,,,,,,45,71,,,,,,,,,,,,,,
2,b,2,1,,,,,,,0,1,,,,,,,,,,,,,,
2,b,2,2,,,,,,,1,7,,,,,,,,,,,,,,
2,b,2,3,,,,,,,0,65,,,,,,,,,,,,,,
2,b,2,4,,,,,,,3,118,,,,,,,,,,,,,,
2,b,2,5,,,,,,,39,130,,,,,,,,,,,,,,
2,b,3,1,,,,,,,1,14,,,,,,,,,,,,,,
2,b,3,2,,,,,,,20,51,,,,,,,,,,,,,,
2,b,3,3,,,,,,,28,30,,,,,,,,,,,,,,
2,b,3,4,,,,,,,51,167,,,,,,,,,,,,,,
2,b,3,5,,,,,,,33,81,,,,,,,,,,,,,,
2,b,4,1,,,,,,,0,0,,,,,,,,,,,,,,
2,b,4,2,,,,,,,0,0,,,,,,,,,,,,,,
2,b,4,3,,,,,,,0,4,,,,,,,,,,,,,,
2,b,4,4,,,,,,,1,19,,,,,,,,,,,,,,
2,b,4,5,,,,,,,2,40,,,,,,,,,,,,,,
3,a,1,1,,,,,,,4,38,,,,,,,,,,,,,,
3,a,1,2,,,,,,,12,76,,,,,,,,,,,,,,
3,a,1,3,,,,,,,29,74,,,,,,,,,,,,,,
3,a,1,4,,,,,,,14,86,,,,,,,,,,,,,,
3,a,1,5,,,,,,,17,49,,,,,,,,,,,,,,
3,a,2,1,,,,,,,0,27,,,,,,,,,,,,,,
3,a,2,2,,,,,,,1,20,,,,,,,,,,,,,,
3,a,2,3,,,,,,,5,43,,,,,,,,,,,,,,
3,a,2,4,,,,,,,20,100,,,,,,,,,,,,,,
3,a,2,5,,,,,,,14,95,,,,,,,,,,,,,,
3,a,3,1,,,,,,,12,80,,,,,,,,,,,,,,
3,a,3,2,,,,,,,16,223,,,,,,,,,,,,,,
3,a,3,3,,,,,,,10,88,,,,,,,,,,,,,,
3,a,3,4,,,,,,,18,89,,,,,,,,,,,,,,
3,a,3,5,,,,,,,9,63,,,,,,,,,,,,,,
3,a,4,1,,,,,,,19,75,,,,,,,,,,,,,,
3,a,4,2,,,,,,,36,244,,,,,,,,,,,,,,
3,a,4,3,,,,,,,7,218,,,,,,,,,,,,,,
3,a,4,4,,,,,,,7,213,,,,,,,,,,,,,,
3,a,4,5,,,,,,,9,174,,,,,,,,,,,,,,
3,b,1,1,,,,,,,3,97,,,,,,,,,,,,,,
3,b,1,2,,,,,,,1,193,,,,,,,,,,,,,,
3,b,1,3,,,,,,,3,120,,,,,,,,,,,,,,
3,b,1,4,,,,,,,1,93,,,,,,,,,,,,,1,
3,b,1,5,,,,,,,0,85,,,,,,,,,,,,,,
3,b,2,1,,,,,,,9,110,,,,,,,,,,,,,,
3,b,2,2,,,,,,,3,208,,,,,,,,,,,,,,
3,b,2,3,,,,,,,1,208,,,,,,,,,,,,,,
3,b,2,4,,,,,,,10,191,,,,,,,,,,,,,,
3,b,2,5,,,,,,,2,122,,,,,,,,,,,,,,
3,b,3,1,,,,,,,16,11,,,,,,,,,,,,,,
3,b,3,2,,,,,,,4,112,,,,,,,,,,,,,,
3,b,3,3,,,,,,,0,49,,,,,,,,,,,,,,
3,b,3,4,,,,,,,1,34,,,,,,,,,,,,,,
3,b,3,5,,,,,,,2,56,,,,,,,,,,,,,,
3,b,4,1,,,,,,,10,46,,,,,,,,,,,,,,
3,b,4,2,,,,,,,18,217,,,,,,,,,,,,,,
3,b,4,3,,,,,,,10,153,,,,,,,,,,,,,,
3,b,4,4,,,,,,,17,141,,,,,,,,,,,,,,
3,b,4,5,,,,,,,3,84,,,,,,,,,,,,,,
3,c,1,1,,,,,,,0,1,,,,,,,,,,,,,,
3,c,1,2,,,,,,,2,3,,,,,,,,,,,,,,
3,c,1,3,,,,,,,2,3,,,,,,,,,,,,,,
3,c,1,4,,,,,,,2,5,,,,,,,,,,,,,,
3,c,1,5,,,,,,,6,3,,,,,,,,,,,,,,
3,c,2,1,,,,,,,10,8,,,,,,,,,,,,,,
3,c,2,2,,,,,,,24,52,,,,,,,,,,,,,,
